date	day	Aquatic Programs Count	Family Swim Count	Lap Swim Count	Water Excercise Count	Sum_Swimmers	day_of_week_in_number	Count_tallies_per_day	Counts_per_Tally
2019-01-02	Wednesday	6.0	20.0	49.0	25.0	100.0	2	20	5.0
2019-01-03	Thursday	10.0	0.0	31.0	44.0	85.0	3	13	6.54
2019-01-04	Friday	4.0	18.0	60.0	44.0	126.0	4	21	6.0
2019-01-05	Saturday	0.0	129.0	111.0	0.0	240.0	5	18	13.33
2019-01-06	Sunday	273.0	172.0	34.0	0.0	479.0	6	20	23.95
2019-01-07	Monday	31.0	9.0	145.0	99.0	284.0	0	31	9.16
2019-01-08	Tuesday	14.0	9.0	79.0	28.0	130.0	1	28	4.64
2019-01-09	Wednesday	120.0	0.0	142.0	57.0	319.0	2	28	11.39
2019-01-10	Thursday	3.0	14.0	35.0	54.0	106.0	3	16	6.62
2019-01-11	Friday	0.0	37.0	38.0	0.0	75.0	4	15	5.0
2019-01-12	Saturday	0.0	45.0	53.0	0.0	98.0	5	17	5.76
2019-01-13	Sunday	0.0	113.0	566.0	0.0	679.0	6	20	33.95
2019-01-14	Monday	23.0	0.0	33.0	46.0	102.0	0	15	6.8
2019-01-15	Tuesday	6.0	0.0	49.0	0.0	55.0	1	13	4.23
2019-01-16	Wednesday	0.0	0.0	60.0	37.0	97.0	2	15	6.47
2019-01-17	Thursday	7.0	0.0	16.0	42.0	65.0	3	13	5.0
2019-01-18	Friday	42.0	3.0	64.0	1.0	110.0	4	22	5.0
2019-01-19	Saturday	73.0	11.0	14.0	0.0	98.0	5	12	8.17
2019-01-20	Sunday	263.0	319.0	61.0	0.0	643.0	6	22	29.23
2019-01-21	Monday	93.0	0.0	18.0	38.0	149.0	0	14	10.64
2019-01-22	Tuesday	6.0	0.0	33.0	19.0	58.0	1	16	3.62
2019-01-23	Wednesday	15.0	0.0	26.0	36.0	77.0	2	18	4.28
2019-01-24	Thursday	11.0	10.0	25.0	45.0	91.0	3	19	4.79
2019-01-25	Friday	0.0	16.0	45.0	3.0	64.0	4	15	4.27
2019-01-26	Saturday	69.0	57.0	13.0	0.0	139.0	5	12	11.58
2019-01-27	Sunday	184.0	0.0	0.0	0.0	184.0	6	15	12.27
2019-01-28	Monday	90.0	0.0	49.0	69.0	208.0	0	25	8.32
2019-01-29	Tuesday	0.0	0.0	20.0	22.0	42.0	1	8	5.25
2019-01-30	Wednesday	33.0	0.0	41.0	31.0	105.0	2	21	5.0
2019-01-31	Thursday	30.0	7.0	27.0	43.0	107.0	3	17	6.29
2019-02-01	Friday	16.0	26.0	79.0	40.0	161.0	4	22	7.32
2019-02-02	Saturday	31.0	155.0	11.0	0.0	197.0	5	10	19.7
2019-02-03	Sunday	179.0	166.0	26.0	0.0	371.0	6	17	21.82
2019-02-04	Monday	63.0	0.0	17.0	30.0	110.0	0	18	6.11
2019-02-05	Tuesday	5.0	7.0	33.0	15.0	60.0	1	14	4.29
2019-02-06	Wednesday	12.0	0.0	54.0	41.0	107.0	2	13	8.23
2019-02-07	Thursday	17.0	9.0	32.0	48.0	106.0	3	19	5.58
2019-02-08	Friday	11.0	17.0	76.0	41.0	145.0	4	22	6.59
2019-02-09	Saturday	134.0	35.0	42.0	0.0	211.0	5	15	14.07
2019-02-15	Friday	7.0	0.0	21.0	0.0	28.0	4	13	2.15
2019-02-16	Saturday	76.0	65.0	12.0	0.0	153.0	5	14	10.93
2019-02-17	Sunday	50.0	45.0	17.0	0.0	112.0	6	16	7.0
2019-02-19	Tuesday	4.0	3.0	52.0	13.0	72.0	1	18	4.0
2019-02-20	Wednesday	13.0	0.0	82.0	38.0	133.0	2	24	5.54
2019-02-21	Thursday	1.0	14.0	10.0	30.0	55.0	3	11	5.0
2019-02-22	Friday	0.0	13.0	83.0	6.0	102.0	4	20	5.1
2019-02-23	Saturday	36.0	11.0	21.0	0.0	68.0	5	9	7.56
2019-02-25	Monday	54.0	7.0	28.0	58.0	147.0	0	22	6.68
2019-02-26	Tuesday	4.0	0.0	62.0	10.0	76.0	1	16	4.75
2019-02-27	Wednesday	32.0	0.0	51.0	30.0	113.0	2	21	5.38
2019-02-28	Thursday	5.0	20.0	22.0	25.0	72.0	3	13	5.54
2019-03-01	Friday	7.0	0.0	45.0	32.0	84.0	4	15	5.6
2019-03-02	Saturday	44.0	47.0	16.0	0.0	107.0	5	7	15.29
2019-03-03	Sunday	135.0	174.0	6.0	0.0	315.0	6	17	18.53
2019-03-04	Monday	56.0	8.0	35.0	56.0	155.0	0	24	6.46
2019-03-05	Tuesday	9.0	7.0	40.0	8.0	64.0	1	18	3.56
2019-03-06	Wednesday	21.0	7.0	29.0	3.0	60.0	2	16	3.75
2019-03-07	Thursday	0.0	8.0	26.0	55.0	89.0	3	14	6.36
2019-03-08	Friday	16.0	20.0	27.0	24.0	87.0	4	17	5.12
2019-03-09	Saturday	47.0	159.0	12.0	0.0	218.0	5	10	21.8
2019-03-10	Sunday	56.0	151.0	4.0	0.0	211.0	6	11	19.18
2019-03-11	Monday	38.0	6.0	58.0	58.0	160.0	0	22	7.27
2019-03-14	Thursday	6.0	0.0	21.0	52.0	79.0	3	14	5.64
2019-03-15	Friday	13.0	16.0	68.0	0.0	97.0	4	19	5.11
2019-03-16	Saturday	76.0	23.0	3.0	0.0	102.0	5	12	8.5
2019-03-17	Sunday	34.0	57.0	36.0	0.0	127.0	6	10	12.7
2019-03-18	Monday	30.0	14.0	26.0	24.0	94.0	0	18	5.22
2019-03-19	Tuesday	0.0	12.0	45.0	4.0	61.0	1	12	5.08
2019-03-20	Wednesday	12.0	4.0	27.0	1.0	44.0	2	13	3.38
2019-03-21	Thursday	0.0	4.0	21.0	58.0	83.0	3	14	5.93
2019-03-22	Friday	12.0	2.0	60.0	1.0	75.0	4	21	3.57
2019-03-24	Sunday	52.0	90.0	95.0	0.0	237.0	6	16	14.81
2019-03-25	Monday	43.0	23.0	33.0	52.0	151.0	0	21	7.19
2019-03-26	Tuesday	0.0	15.0	48.0	27.0	90.0	1	20	4.5
2019-03-27	Wednesday	8.0	0.0	35.0	28.0	71.0	2	19	3.74
2019-03-28	Thursday	10.0	7.0	33.0	35.0	85.0	3	16	5.31
2019-03-29	Friday	8.0	29.0	49.0	41.0	127.0	4	21	6.05
2019-03-30	Saturday	11.0	105.0	39.0	0.0	155.0	5	19	8.16
2019-03-31	Sunday	0.0	216.0	217.0	0.0	433.0	6	21	20.62
2019-04-01	Monday	24.0	38.0	62.0	65.0	189.0	0	23	8.22
2019-04-02	Tuesday	0.0	15.0	64.0	59.0	138.0	1	20	6.9
2019-04-03	Wednesday	7.0	11.0	54.0	37.0	109.0	2	20	5.45
2019-04-04	Thursday	0.0	0.0	16.0	63.0	79.0	3	13	6.08
2019-04-05	Friday	2.0	10.0	62.0	41.0	115.0	4	23	5.0
2019-04-06	Saturday	0.0	40.0	59.0	0.0	99.0	5	23	4.3
2019-04-07	Sunday	0.0	92.0	63.0	0.0	155.0	6	18	8.61
2019-04-08	Monday	54.0	0.0	36.0	44.0	134.0	0	17	7.88
2019-04-09	Tuesday	5.0	9.0	51.0	39.0	104.0	1	16	6.5
2019-04-10	Wednesday	13.0	6.0	42.0	16.0	77.0	2	21	3.67
2019-04-11	Thursday	5.0	4.0	28.0	16.0	53.0	3	11	4.82
2019-04-12	Friday	0.0	7.0	51.0	0.0	58.0	4	18	3.22
2019-04-13	Saturday	107.0	7.0	7.0	0.0	121.0	5	12	10.08
2019-04-14	Sunday	301.0	256.0	58.0	0.0	615.0	6	22	27.95
2019-04-15	Monday	84.0	7.0	43.0	40.0	174.0	0	24	7.25
2019-04-16	Tuesday	16.0	13.0	31.0	48.0	108.0	1	20	5.4
2019-04-17	Wednesday	29.0	2.0	62.0	40.0	133.0	2	22	6.05
2019-04-18	Thursday	9.0	5.0	18.0	40.0	72.0	3	15	4.8
2019-04-19	Friday	10.0	17.0	29.0	2.0	58.0	4	16	3.62
2019-04-20	Saturday	93.0	14.0	14.0	0.0	121.0	5	12	10.08
2019-04-21	Sunday	100.0	57.0	39.0	0.0	196.0	6	17	11.53
2019-04-22	Monday	76.0	2.0	73.0	101.0	252.0	0	31	8.13
2019-04-23	Tuesday	5.0	0.0	30.0	43.0	78.0	1	10	7.8
2019-04-24	Wednesday	40.0	10.0	66.0	37.0	153.0	2	22	6.95
2019-04-25	Thursday	2.0	5.0	29.0	41.0	77.0	3	13	5.92
2019-04-26	Friday	10.0	9.0	71.0	3.0	93.0	4	21	4.43
2019-04-27	Saturday	144.0	110.0	18.0	0.0	272.0	5	16	17.0
2019-04-28	Sunday	265.0	236.0	109.0	0.0	610.0	6	20	30.5
2019-04-29	Monday	84.0	6.0	36.0	66.0	192.0	0	26	7.38
2019-04-30	Tuesday	25.0	40.0	42.0	61.0	168.0	1	21	8.0
2019-05-01	Wednesday	31.0	9.0	64.0	32.0	136.0	2	21	6.48
2019-05-02	Thursday	3.0	3.0	20.0	62.0	88.0	3	15	5.87
2019-05-03	Friday	8.0	17.0	71.0	3.0	99.0	4	22	4.5
2019-05-05	Sunday	76.0	145.0	11.0	0.0	232.0	6	14	16.57
2019-05-06	Monday	30.0	2.0	42.0	42.0	116.0	0	24	4.83
2019-05-07	Tuesday	6.0	0.0	27.0	36.0	69.0	1	12	5.75
2019-05-08	Wednesday	29.0	0.0	53.0	19.0	101.0	2	22	4.59
2019-05-09	Thursday	0.0	0.0	11.0	32.0	43.0	3	7	6.14
2019-05-10	Friday	5.0	13.0	46.0	2.0	66.0	4	16	4.12
2019-05-11	Saturday	32.0	112.0	25.0	0.0	169.0	5	18	9.39
2019-05-12	Sunday	30.0	71.0	21.0	0.0	122.0	6	17	7.18
2019-05-13	Monday	9.0	0.0	36.0	48.0	93.0	0	17	5.47
2019-05-14	Tuesday	0.0	12.0	34.0	40.0	86.0	1	17	5.06
2019-05-15	Wednesday	12.0	0.0	48.0	31.0	91.0	2	25	3.64
2019-05-16	Thursday	0.0	2.0	20.0	52.0	74.0	3	12	6.17
2019-05-17	Friday	0.0	6.0	32.0	34.0	72.0	4	16	4.5
2019-05-18	Saturday	55.0	145.0	42.0	0.0	242.0	5	13	18.62
2019-05-19	Sunday	176.0	141.0	102.0	0.0	419.0	6	20	20.95
2019-05-20	Monday	92.0	9.0	61.0	68.0	230.0	0	26	8.85
2019-05-21	Tuesday	0.0	27.0	72.0	76.0	175.0	1	21	8.33
2019-05-22	Wednesday	17.0	15.0	66.0	40.0	138.0	2	21	6.57
2019-05-23	Thursday	0.0	6.0	20.0	57.0	83.0	3	14	5.93
2019-05-24	Friday	6.0	32.0	34.0	35.0	107.0	4	19	5.63
2019-05-25	Saturday	0.0	75.0	28.0	0.0	103.0	5	13	7.92
2019-05-26	Sunday	61.0	80.0	45.0	0.0	186.0	6	18	10.33
2019-05-27	Monday	57.0	180.0	72.0	76.0	385.0	0	18	21.39
2019-05-28	Tuesday	11.0	0.0	28.0	64.0	103.0	1	19	5.42
2019-05-29	Wednesday	0.0	10.0	51.0	26.0	87.0	2	22	3.95
2019-05-30	Thursday	7.0	0.0	17.0	57.0	81.0	3	17	4.76
